pic_id,url,tag,date_taken,Owner_name,Camera_Make,Camera_Model,Aperture,Exposure_Program,ISO,Metering_Mode,Flash,Focal_Length,Color_Space,Lens_Model,latitude,longitude,county,region,country
52575766073,https://live.staticflickr.com/65535/52575766073_c92482e478_c.jpg,elephant,2022-12-08 11:09:01,Bill in DC,Apple,iPhone 13 Pro Max,1.5,Program AE,50.0,Multi-segment,"Off, Did not fire",5.7,Uncalibrated,iPhone 13 Pro Max back triple camera 5.7mm f/1.5,-17.841537,25.085619,,Zambezi,Namibia
52575641343,https://live.staticflickr.com/65535/52575641343_43c5bddd37_c.jpg,elephant,2022-06-19 06:47:10,sharon.verkuilen,SONY,DSC-RX100M6,5.6,Program AE,125.0,Multi-segment,"Auto, Did not fire",49.7,sRGB,24-200mm F2.8-4.5,-15.716693,29.338645,Chongwe District,Lusaka Province,Zambia
52575021907,https://live.staticflickr.com/65535/52575021907_485c1c9d8a_c.jpg,elephant,2022-11-16 23:18:31,Christopher Parma,NIKON CORPORATION,NIKON D750,4.0,Manual,1600.0,Multi-segment,"Off, Did not fire",40.0,sRGB,24.0-120.0 mm f/4.0,29.711705,-95.33178,Harris,Texas,United States
52575497785,https://live.staticflickr.com/65535/52575497785_68ae215a8d_c.jpg,elephant,2022-12-20 12:44:41,Madrid Pixel,Canon,Canon EOS 7D Mark II,6.3,Aperture-priority AE,250.0,Multi-segment,"Off, Did not fire",105.0,sRGB,EF24-105mm f/4L IS USM,24.994969,121.588927,Taipei City,Taiwan,Taiwan
52575405834,https://live.staticflickr.com/65535/52575405834_81384c6d78_c.jpg,elephant,2022-12-19 10:35:56,@magda627,SONY,ILCE-6000,10.0,Manual,100.0,Multi-segment,"Off, Did not fire",18.0,sRGB,E 18-55mm F3.5-5.6 OSS,no_info,no_info,no_info,no_info,no_info
52575663111,https://live.staticflickr.com/65535/52575663111_2b5116e68f_c.jpg,elephant,2022-12-12 11:35:09,Bollihoper,FUJIFILM,X-T3,8.0,Aperture-priority AE,80.0,Multi-segment,No Flash,35.0,sRGB,XF35mmF1.4 R,no_info,no_info,no_info,no_info,no_info
52575444995,https://live.staticflickr.com/65535/52575444995_b23f3ed3a9_c.jpg,elephant,2022-12-20 02:58:10,Ú¿Ú°Û£-áƒ¦ Sagittarius Archer áƒ¦-Ú¿Ú° (kreed6671),FUJIFILM,X-T3,8.0,Aperture-priority AE,80.0,Multi-segment,No Flash,35.0,sRGB,XF35mmF1.4 R,no_info,no_info,no_info,no_info,no_info
52575054921,https://live.staticflickr.com/65535/52575054921_65175e5382_c.jpg,elephant,2022-12-20 12:40:34,"Truus, Bob & Jan too!",NIKON CORPORATION,NIKON D750,4.0,Manual,1600.0,Multi-segment,"Off, Did not fire",40.0,sRGB,24.0-120.0 mm f/4.0,no_info,no_info,no_info,no_info,no_info
52574592837,https://live.staticflickr.com/65535/52574592837_4a86164da9_c.jpg,elephant,2016-12-25 21:38:58,wwimble,SONY,SLT-A77V,3.5,Portrait,320.0,Multi-segment,"On, Return detected",18.0,sRGB,18-250mm F3.5-6.3,no_info,no_info,no_info,no_info,no_info
52574322577,https://live.staticflickr.com/65535/52574322577_2544a52f68_c.jpg,elephant,2019-03-06 09:00:18,cgbretired,Canon,Canon PowerShot SX60 HS,5.6,Aperture-priority AE,160.0,Multi-segment,"Off, Did not fire",93.0,sRGB,EF24-105mm f/4L IS USM,no_info,no_info,no_info,no_info,no_info
