pic_id,Camera_Make,Camera_Model,Aperture,Exposure_Program,ISO,Metering_Mode,Flash,Focal_Length,Color_Space,Lens_Model
52322009719,,,,,,,,,Uncalibrated,
52320737584,FUJIFILM,X-T3,2.8,Manual,400.0,Spot,No Flash,280.0,sRGB,XF200mmF2 R LM OIS WR + 1.4x F2
52318856567,NIKON,COOLPIX P900,3.2,Program AE,100.0,Multi-segment,"Off, Did not fire",7.1,sRGB,XF200mmF2 R LM OIS WR + 1.4x F2
52317010009,NIKON,COOLPIX P900,3.2,Program AE,100.0,Multi-segment,"Off, Did not fire",7.1,sRGB,XF200mmF2 R LM OIS WR + 1.4x F2
52316544790,NIKON,COOLPIX P900,3.2,Program AE,100.0,Multi-segment,"Off, Did not fire",7.1,sRGB,XF200mmF2 R LM OIS WR + 1.4x F2
52316516929,NIKON,COOLPIX P900,3.2,Program AE,100.0,Multi-segment,"Off, Did not fire",7.1,sRGB,XF200mmF2 R LM OIS WR + 1.4x F2
52314264554,NIKON CORPORATION,NIKON D5,11.0,Aperture-priority AE,200.0,Multi-segment,"On, Return detected",105.0,sRGB,XF200mmF2 R LM OIS WR + 1.4x F2
52313999113,NIKON CORPORATION,NIKON D5,11.0,Aperture-priority AE,200.0,Multi-segment,"On, Return detected",105.0,sRGB,XF200mmF2 R LM OIS WR + 1.4x F2
52312079122,Canon,Canon EOS 60D,5.6,Manual,200.0,Multi-segment,"Off, Did not fire",35.0,sRGB,EF24-105mm f/4L IS USM
52313311170,Canon,Canon EOS 60D,2.8,Manual,100.0,Center-weighted average,"Off, Did not fire",50.0,sRGB,EF50mm f/1.8 II
52313000050,HUAWEI,YAL-L21,1.8,Program AE,50.0,Multi-segment,No Flash,4.8,sRGB,EF50mm f/1.8 II
52308935673,NIKON CORPORATION,NIKON D7200,6.7,Aperture-priority AE,400.0,Center-weighted average,"Off, Did not fire",390.0,Uncalibrated,EF50mm f/1.8 II
52307808069,DJI,FC7203,2.8,Manual,100.0,Center-weighted average,No flash function,4.5,sRGB,EF50mm f/1.8 II
52307819940,DJI,FC7203,2.8,Program AE,100.0,Center-weighted average,No flash function,4.5,sRGB,EF50mm f/1.8 II
52307819720,DJI,FC7203,2.8,Program AE,100.0,Center-weighted average,No flash function,4.5,sRGB,EF50mm f/1.8 II
52306568867,DJI,FC7203,2.8,Program AE,100.0,Center-weighted average,No flash function,4.5,sRGB,EF50mm f/1.8 II
52307290776,DJI,FC7203,2.8,Program AE,100.0,Center-weighted average,No flash function,4.5,sRGB,EF50mm f/1.8 II
52307819485,DJI,FC7203,2.8,Program AE,100.0,Center-weighted average,No flash function,4.5,sRGB,EF50mm f/1.8 II
52307290536,DJI,FC7203,2.8,Program AE,200.0,Center-weighted average,No flash function,4.5,sRGB,EF50mm f/1.8 II
52306845253,Panasonic,DC-G90,6.3,Landscape,200.0,Multi-segment,"Off, Did not fire",44.0,sRGB,EF50mm f/1.8 II
52306844633,Panasonic,DC-G90,5.6,Program AE,250.0,Multi-segment,"Off, Did not fire",60.0,sRGB,EF50mm f/1.8 II
52306823943,Panasonic,DC-G90,5.6,Portrait,200.0,Multi-segment,"Off, Did not fire",43.0,sRGB,EF50mm f/1.8 II
52306347031,Panasonic,DC-G90,9.0,Program AE,200.0,Multi-segment,"Off, Did not fire",12.0,sRGB,EF50mm f/1.8 II
52306261204,FUJIFILM,X-T3,3.2,Manual,400.0,Spot,No Flash,280.0,sRGB,XF200mmF2 R LM OIS WR + 1.4x F2
52303582907,FUJIFILM,X-T3,3.2,Manual,400.0,Spot,No Flash,280.0,Uncalibrated,XF200mmF2 R LM OIS WR + 1.4x F2
52304822375,FUJIFILM,X-T3,3.2,Manual,400.0,Spot,No Flash,280.0,Uncalibrated,XF200mmF2 R LM OIS WR + 1.4x F2
52304768358,FUJIFILM,X-T3,3.2,Manual,400.0,Spot,No Flash,280.0,Uncalibrated,XF200mmF2 R LM OIS WR + 1.4x F2
52303582522,FUJIFILM,X-T3,3.2,Manual,400.0,Spot,No Flash,280.0,Uncalibrated,XF200mmF2 R LM OIS WR + 1.4x F2
52304768113,FUJIFILM,X-T3,3.2,Manual,400.0,Spot,No Flash,280.0,Uncalibrated,XF200mmF2 R LM OIS WR + 1.4x F2
52303646331,NIKON,COOLPIX P900,3.5,Program AE,100.0,Multi-segment,"Off, Did not fire",9.8,sRGB,XF200mmF2 R LM OIS WR + 1.4x F2
52301068668,Canon,Canon EOS 6D Mark II,5.6,Aperture-priority AE,400.0,Multi-segment,"Off, Did not fire",168.0,sRGB,EF70-200mm f/4L USM
52299045367,SONY,ILCE-6400,4.5,Aperture-priority AE,400.0,Multi-segment,"Off, Did not fire",38.0,sRGB,E 18-135mm F3.5-5.6 OSS
52300523190,SONY,ILCE-6400,6.3,Aperture-priority AE,400.0,Multi-segment,"Off, Did not fire",200.0,sRGB,E 70-350mm F4.5-6.3 G OSS
52299044572,SONY,ILCE-6400,6.3,Aperture-priority AE,400.0,Multi-segment,"Off, Did not fire",214.0,sRGB,E 70-350mm F4.5-6.3 G OSS
52300522000,SONY,ILCE-6400,6.3,Aperture-priority AE,400.0,Multi-segment,"Off, Did not fire",240.0,sRGB,E 70-350mm F4.5-6.3 G OSS
52300501030,SONY,ILCE-6400,6.3,Aperture-priority AE,400.0,Multi-segment,"Off, Did not fire",240.0,sRGB,E 70-350mm F4.5-6.3 G OSS
52297705132,NIKON,COOLPIX P900,6.3,Manual,1600.0,Multi-segment,"Off, Did not fire",196.0,sRGB,E 70-350mm F4.5-6.3 G OSS
52299056925,FUJIFILM,X-T3,4.0,Manual,640.0,Multi-segment,No Flash,280.0,sRGB,XF200mmF2 R LM OIS WR + 1.4x F2
52296006822,FUJIFILM,X-T3,2.8,Manual,400.0,Spot,No Flash,280.0,sRGB,XF200mmF2 R LM OIS WR + 1.4x F2
52297363755,Canon,Canon EOS 70D,9.0,Program AE,160.0,Multi-segment,"Off, Did not fire",40.0,Uncalibrated,EF-S18-200mm f/3.5-5.6 IS
52297135504,Canon,Canon EOS 70D,3.5,Shutter speed priority AE,640.0,Multi-segment,"Off, Did not fire",20.0,Uncalibrated,EF-S18-200mm f/3.5-5.6 IS
52295884727,Canon,Canon EOS 70D,3.5,Shutter speed priority AE,320.0,Multi-segment,"Off, Did not fire",18.0,Uncalibrated,EF-S18-200mm f/3.5-5.6 IS
52296084326,NIKON,COOLPIX P900,3.2,Program AE,100.0,Multi-segment,"Off, Did not fire",7.7,sRGB,EF-S18-200mm f/3.5-5.6 IS
